S.no,HS_ID,Status,Date,Diff.
1,A1,Sales Confirmation,2-Sep-2022,1
2,A16,Sales Confirmation,2-Sep-2022,1
3,A23,Sales Confirmation,2-Sep-2022,1
4,A2,Sales Confirmation,28-Nov-2022,1
5,A25,Sales Confirmation,28-Nov-2022,1
6,A26,Sales Confirmation,5-Dec-2022,1
7,A72,Sales Confirmation,5-Dec-2022,1
8,A27,Partial Data Received,12-Dec-2022,1
9,A27,Project Start Date,12-Dec-2022,1
10,A27,1st Cut Delivery,23-Dec-2022,1
11,A18,Sales Confirmation,26-Dec-2022,1
12,A18,Partial Data Received,11-Jan-2023,1
13,A29,Partial Data Received,8-Feb-2023,1
14,A29,Project Start Date,8-Feb-2023,1
15,A30,Sales Confirmation,14-Feb-2023,1
16,A29,1st Cut Delivery,21-Feb-2023,1
17,A73,Sales Confirmation,27-Feb-2023,1
18,A18,Tower Modeling End,2-Mar-2023,1
19,A28,Partial Data Received,2-Mar-2023,1
20,A28,Project Start Date,2-Mar-2023,1
21,A18,Tower Modeling Confirmation,6-Mar-2023,1
22,A19,Sales Confirmation,6-Mar-2023,1
23,A32,Sales Confirmation,6-Mar-2023,1
24,A19,Partial Data Received,7-Mar-2023,1
25,A28,1st Cut Delivery,10-Mar-2023,1
26,A27,1st Rework Received,10-Mar-2023,1
27,A19,Project Start Date,13-Mar-2023,1
28,A19,Tower Modeling Start,13-Mar-2023,1
29,A35,Sales Confirmation,13-Mar-2023,1
30,A27,1st Rework Start,13-Mar-2023,1
31,A18,Final Data Received,16-Mar-2023,1
32,A18,Project Start Date,15-Mar-2023,1
33,A18,Tower Modeling Start,16-Mar-2023,1
34,A36,Partial Data Received,16-Mar-2023,1
35,A36,Project Start Date,17-Mar-2023,1
36,A20,Sales Confirmation,20-Mar-2023,1
37,A31,Partial Data Received,21-Mar-2023,1
38,A33,Partial Data Received,21-Mar-2023,1
39,A37,Partial Data Received,21-Mar-2023,1
40,A31,Project Start Date,21-Mar-2023,1
41,A33,Project Start Date,21-Mar-2023,1
42,A37,Project Start Date,21-Mar-2023,1
43,A19,Tower Modeling End,24-Mar-2023,1
44,A17,Sales Confirmation,27-Mar-2023,1
45,A38,Partial Data Received,27-Mar-2023,1
46,A72,Partial Data Received,27-Mar-2023,1
47,A72,Project Start Date,27-Mar-2023,1
48,A72,Tower Modeling Start,27-Mar-2023,1
49,A18,1st Rework Start,31-Mar-2023,1
50,A36,1st Cut Delivery,31-Mar-2023,1
51,A27,1st Rework End,31-Mar-2023,1
52,A27,2nd Rework Received,5-Apr-2023,1
53,A27,2nd Rework Start,5-Apr-2023,1
54,A74,Sales Confirmation,5-Apr-2023,1
55,A31,1st Cut Delivery,6-Apr-2023,1
56,A33,1st Cut Delivery,6-Apr-2023,1
57,A27,2nd Rework End,6-Apr-2023,1
58,A72,Tower Modeling End,6-Apr-2023,1
59,A3,Sales Confirmation,10-Apr-2023,1
60,A21,Sales Confirmation,10-Apr-2023,1
61,A41,Partial Data Received,10-Apr-2023,1
62,A41,Project Start Date,10-Apr-2023,1
63,A37,1st Cut Delivery,10-Apr-2023,1
64,A75,Sales Confirmation,10-Apr-2023,1
65,A76,Sales Confirmation,10-Apr-2023,1
66,A77,Sales Confirmation,10-Apr-2023,1
67,A72,1st Tower Modeling Rework Received,10-Apr-2023,1
68,A4,Sales Confirmation,11-Apr-2023,1
69,A5,Sales Confirmation,11-Apr-2023,1
70,A45,Sales Confirmation,11-Apr-2023,1
71,A34,Partial Data Received,11-Apr-2023,1
72,A39,Partial Data Received,11-Apr-2023,1
73,A40,Partial Data Received,11-Apr-2023,1
74,A39,Project Start Date,11-Apr-2023,1
75,A19,1st Rework Received,12-Apr-2023,1
76,A34,Project Start Date,12-Apr-2023,1
77,A40,Project Start Date,12-Apr-2023,1
78,A41,1st Cut Delivery,17-Apr-2023,1
79,A31,1st Rework Received,17-Apr-2023,1
80,A31,1st Rework Start,17-Apr-2023,1
81,A73,Partial Data Received,18-Apr-2023,1
82,A73,Project Start Date,18-Apr-2023,1
83,A73,Tower Modeling Start,18-Apr-2023,1
84,A17,Final Data Received,19-Apr-2023,1
85,A17,Project Start Date,19-Apr-2023,1
86,A17,Tower Modeling Start,19-Apr-2023,1
87,A19,1st Cut Delivery,20-Apr-2023,1
88,A19,1st Rework Approval/Clarification,20-Apr-2023,1
89,A31,1st Rework End,20-Apr-2023,1
90,A34,1st Cut Delivery,21-Apr-2023,1
91,A19,2nd Rework Approval/Clarification,24-Apr-2023,1
92,A39,1st Cut Delivery,24-Apr-2023,1
93,A40,1st Cut Delivery,24-Apr-2023,1
94,A73,Tower Modeling End,24-Apr-2023,1
95,A76,Partial Data Received,24-Apr-2023,1
96,A76,Project Start Date,24-Apr-2023,1
97,A76,Tower Modeling Start,24-Apr-2023,1
98,A19,1st Tower Modeling Rework Start,20-Apr-2023,1
99,A19,1st Tower Modeling Rework End,26-Apr-2023,1
100,A21,Partial Data Received,26-Apr-2023,1
