opportunity_id,project_type,project_name,builder_name,city_name,product_name,package_id,quantity,purchase_date,sales_confirmation_date,account_manager,current_status_name,Latest_date,project_start_date
https://lookup.housing.com/opportunity/2681558,,Hi-Street,"Omaxe Ltd",Noida,Drone Interactive,,1,20-Apr-2023,20-Apr-2023,Pooja Singh,Final Delivery,8-Jan-2024,20-Apr-2023
https://lookup.housing.com/opportunity/3340146,,Karnavati Parisar,Rajvi Buildcon,Ahmedabad,Drone Interactive,,1,31-Oct-2023,31-Oct-2023,Parthgiri Jayeshgiri Goswami,Final Delivery,5-Feb-2024,31-Oct-2023
https://lookup.housing.com/opportunity/3210927,,103 West,Zenith Property,Mumbai,Drone Interactive,,1,8-Dec-2023,8-Dec-2023,Niraj singh,Final Delivery,6-Feb-2024,12-Dec-2023
https://lookup.housing.com/opportunity/3511983,,Aabharana,Bhoo Developers,Bangalore,Drone video + voiceover,,1,12-Dec-2023,12-Dec-2023,Saurabh Singh,Final Delivery,12-Feb-2024,27-Dec-2023
https://lookup.housing.com/opportunity/602227,,Sugam Niavara,Sugam & Diamond group,Kolkata,Drone video,,1,23-Nov-2023,24-Nov-2023,Kuheli Bose,Final Delivery,1-Mar-2024,24-Nov-2023
https://lookup.housing.com/opportunity/2638340,,VBHC Palmhaven,,,Drone video + voiceover,,1,9-Mar-2023,20-Mar-2023,,Final Delivery,7-Mar-2024,20-Mar-2023
https://lookup.housing.com/opportunity/3581332,,Escon Panache Villa,ESCON INFRA REALTORS,Greater Noida,Drone Interactive,,1,30-Dec-2023,21-Jan-2024,Praveen Singh,Final Delivery,11-Mar-2024,22-Jan-2024
https://lookup.housing.com/opportunity/3581332,,Escon Panache Villa,ESCON INFRA REALTORS,Greater Noida,Drone video + voiceover,,1,30-Dec-2023,21-Jan-2024,Praveen Singh,Final Delivery,11-Mar-2024,22-Jan-2024
https://lookup.housing.com/opportunity/3538822,,COBAN,Yhataw Real Estate Facilitator Pvt Ltd,Gurgaon,Drone video + voiceover,,1,19-Dec-2023,19-Dec-2023,Rahul Kumar Seth,Final Delivery,15-Mar-2024,19-Jan-2024
https://lookup.housing.com/opportunity/3538840,,COBAN,Yhataw Real Estate Facilitator Pvt Ltd,Gurgaon,HD Images,,1,19-Dec-2023,19-Dec-2023,Rahul Kumar Seth,Final Delivery,15-Mar-2024,19-Jan-2024
https://lookup.housing.com/opportunity/3479298,,Shriyasha Vrindavan,Brace Infrastructure,Bhubaneswar,Drone Interactive,,1,30-Nov-2023,9-Feb-2024,Abinash Samal,Final Delivery,22-Mar-2024,14-Feb-2024
https://lookup.housing.com/opportunity/3674679,,Shreeji Eternity,Shreeji Group,Mumbai,Drone Interactive,,1,30-Jan-2024,30-Jan-2024,Shantanu Pai,Final Delivery,22-Mar-2024,3-Feb-2024
https://lookup.housing.com/opportunity/417284,,La Vivant,Atco Projects,Bangalore,Drone video + voiceover,,1,9-Oct-2023,10-Oct-2023,Zuheb Makdoom,7th Cut Delivery,13-Mar-2024,23-Oct-2023
https://lookup.housing.com/opportunity/3752900,,Ankura Meridian,Acorn Group,Bangalore,Area Wiki Lite,,1,14-Mar-2024,20-Feb-2024,Deepak Panigrahy,2nd Cut Delivery,20-Mar-2024,20-Feb-2024
https://lookup.housing.com/opportunity/3604070,,Aisshpra Developers Pvt Ltd,Aisshpra Developers Pvt Ltd,Gorakhpur,Drone Interactive,,1,7-Jan-2024,26-Jan-2024,Shashank Kumar Singh,3rd Cut Delivery,16-Mar-2024,7-Feb-2024
https://lookup.housing.com/opportunity/3475555,,Engrace Vista,Modern Spaaces,Bangalore,Drone Interactive,,1,12-Dec-2023,20-Dec-2023,Deepak Kumar Panigrahy,3rd Cut Delivery,31-Jan-2024,20-Dec-2023
https://lookup.housing.com/opportunity/3148370,,Avalon,Antariksh Realtors Pvt Ltd,Mumbai,Custom content,,1,31-Aug-2023,29-Aug-2023,Shardul Deepak Sawant,2nd Cut Delivery,7-Feb-2024,16-Dec-2023
https://lookup.housing.com/opportunity/3819710,,Gateway Residences,Infinity associates,Mumbai,Drone Interactive,,1,29-Feb-2024,1-Feb-2024,Manish Ramesh Almal,2nd Cut Delivery,12-Feb-2024,1-Feb-2024
https://lookup.housing.com/opportunity/2843300,,Casa Teraza,,,Drone Interactive,,1,31-May-2023,12-Jun-2023,,3rd Cut Delivery,31-Jul-2023,31-Jul-2023
https://lookup.housing.com/opportunity/3667278,,Lehariya,KGK Realty,Jaipur,Drone video + voiceover,,1,24-Jan-2024,24-Jan-2024,Mohd Wasim Aktar Shekh,2nd Cut Delivery,12-Feb-2024,29-Jan-2024
https://lookup.housing.com/opportunity/3813871,,Pearl Sahu City,Sahu Group,Lucknow,Drone Interactive,,1,28-Feb-2024,4-Mar-2024,Rishabh Pandey,2nd Cut Delivery,21-Mar-2024,4-Mar-2024
https://lookup.housing.com/opportunity/3698010,,RG Group,RG Group,Noida,Drone Interactive,,1,31-Jan-2024,19-Feb-2024,Neeraj Malhotra,3rd Cut Delivery,18-Mar-2024,22-Feb-2024
https://lookup.housing.com/opportunity/3573404,,Golden Avenue,Golden Homes,Nagpur,Drone Interactive,,1,30-Dec-2023,13-Feb-2024,Atul Shyam Wasnik,2nd Cut Delivery,19-Mar-2024,21-Feb-2024
https://lookup.housing.com/opportunity/3469473,,Tropical Lagoon Life,Sai Developers,Mumbai,Drone video,,1,4-Dec-2023,6-Dec-2023,Umez Mulla,3rd Cut Delivery,16-Jan-2024,11-Dec-2023
https://lookup.housing.com/opportunity/3819096,,Solitaire,Harshpriya Constructions,Bhubaneswar,Drone Interactive,,1,29-Feb-2024,21-Mar-2024,Aman Banchhor,2nd Cut Delivery,10-Apr-2024,21-Mar-2024
https://lookup.housing.com/opportunity/3805538,,Melodies of Life,Inspira Builders,Bangalore,Custom content,,1,27-Feb-2024,12-Mar-2024,Deepak Panigrahy,4th Cut Delivery,29-Apr-2024,12-Mar-2024
https://lookup.housing.com/opportunity/1191024,,Goodwill,Lalani Grpoup,Mumbai,Drone Interactive,,1,20-Nov-2023,20-Nov-2023,Shardul Deepak Sawant,3rd Cut Delivery,25-Jan-2024,29-Nov-2023
https://lookup.housing.com/opportunity/3606203,,Rudraksh Kingston,Shaligram Developers,Bhopal,Drone Interactive,,1,16-Jan-2024,2-Feb-2024,Navneet Kaur sandhu,2nd Cut Delivery,20-Mar-2024,13-Feb-2024
https://lookup.housing.com/opportunity/3656158,,EVOS alchemy,Evos Buildcon Pvt. Ltd.,Bhubaneswar,Drone Interactive,,1,22-Jan-2024,22-Jan-2024,Madhushree Mukherjee,2nd Cut Delivery,21-Feb-2024,30-Jan-2024
https://lookup.housing.com/opportunity/3612174,,Royal Presidency,SJ Developers,Bhubaneswar,Drone Interactive,,1,22-Jan-2024,7-Mar-2024,Debashis Das,1st Cut Delivery,21-Mar-2024,18-Mar-2024
https://lookup.housing.com/opportunity/2670088,,Dale,Mana Projects Pvt Ltd,Bangalore,SliceView,,1,14-Oct-2023,10-Apr-2023,Deepak Panigrahy,3rd Cut Delivery,20-Feb-2024,3-Nov-2023
https://lookup.housing.com/opportunity/3839982,,Walktown,Modern Spaaces,Bangalore,Drone Interactive,,1,8-Mar-2024,11-Mar-2024,Deepak Kumar Panigrahy,1st Cut Delivery,7-May-2024,25-Apr-2024
https://lookup.housing.com/opportunity/2925297,,Visthara,Vrindhavana properties,Coimbatore,Drone Interactive,,1,7-Aug-2023,7-Aug-2023,Deepak R,3rd Cut Delivery,2-Feb-2024,11-Aug-2023
https://lookup.housing.com/opportunity/3935059,,Platinum City Lights,Global Properties,Pune,Drone Interactive,,1,31-Mar-2024,3-Apr-2024,Mohit Laddha,4th Cut Delivery,17-May-2024,3-Apr-2024
https://lookup.housing.com/opportunity/3931108,,Westmont,SHREE SONIGARA GORE DEVELOPERS LLP,Pune,Drone Interactive,,1,31-Mar-2024,17-Apr-2024,Lubaba Navid Momin,1st Cut Delivery,7-May-2024,30-Apr-2024
https://lookup.housing.com/opportunity/3697920,,Sahakar Mira Road,Sahakar Group,Mumbai,Drone Interactive,,1,31-Jan-2024,2-Feb-2024,Shantanu Pai,3rd Cut Delivery,15-May-2024,28-Feb-2024
https://lookup.housing.com/opportunity/3662942,,Mashobra Hills,Rajdeep and Company,Gurgaon,Drone Interactive,,1,27-Jan-2024,29-Jan-2024,Vikar Wani,3rd Cut Delivery,10-May-2024,1-Feb-2024
https://lookup.housing.com/opportunity/3662942,,Kasauli Paraiso,Rajdeep and Company,Gurgaon,Drone Interactive,,1,27-Jan-2024,29-Jan-2024,Vikar Wani,3rd Cut Delivery,10-May-2024,1-Feb-2024
https://lookup.housing.com/opportunity/4088992,,Tanvi Ace,Tanvi Constructions,Pune,Drone Interactive,,1,30-Apr-2024,7-May-2024,Harshil Sunil Doshi,1st Cut Delivery,16-May-2024,10-May-2024
https://lookup.housing.com/opportunity/3512414,,Winds of Joy,Gera Developers,Pune,Area Wiki Lite,,1,13-Dec-2023,13-Dec-2023,Shraddha Suresh Mange Bhanushali,7th Cut Delivery,5-Jun-2024,13-Dec-2023
